IP,Rank(s),Domain(s)
162.255.119.132,302992;565365;849358,ball6.live;rindux500.com;1win-qwe12.top
154.220.62.89,870445,thyq4.com
216.226.196.146,348124,washoenv.infinitecampus.org
45.156.217.206,577566,lrrqq.com
109.234.166.248,738635;789769,4escape.io;marques-de-france.fr
192.64.119.132,206489;405270,orderviagra200norx.quest;autonomiq.ai
192.64.118.121,490446,lmarc.net
162.0.209.65,377085;860263;878538,decontruction.wiki;v2ktor.cc;danicaconcepts.co.ke
160.153.0.89,894444,singh-ray.com
198.115.82.77,4405,bostonglobe.com
103.41.70.3,934552,corninggorillaglass.com
162.0.235.45,477101;526420,onbet99-vn.com;zlidein.com
109.234.167.98,846059,lutin-farceur.com
154.92.9.2,N/A,N/A
154.201.171.170,671342,scjcmh.com
205.216.11.53,931133,www.ecinteractiveplus.com
85.195.127.19,48279,gsitrix.com
160.153.0.194,528204;549956;801954,intercourier.news;intalio.com;modernnurse.com
23.235.158.116,908579,cdpxxx.com
162.254.39.144,165785,tarojp88.com
192.104.182.209,71737;86959;99858;94911;98834;115835;118851;103483;147721;145005;161283;166710;170143;153901;169779;186814;187512;201624;201303;210081;203928;219209;178929;227052;239889;247927;249987;251112;268237;323809;326865;323302;330944;361852;365960;367818;395399;411296;416880;449445;451084;453471;443094;493411;505294;520975;570606;624391;647852;634934;654222;676247;673026;700170;733062;739717;773916;777528;860832;886589;905230;907434;928732;982390,eagletribune.com;wvnews.com;salemnews.com;joplinglobe.com;phillytrib.com;record-eagle.com;dailyitem.com;mankatofreepress.com;tribstar.com;tribdem.com;register-herald.com;heraldbulletin.com;annistonstar.com;normantranscript.com;bdtonline.com;santamariatimes.com;pressrepublican.com;newburyportnews.com;enidnews.com;gloucestertimes.com;times-news.com;thedailystar.com;niagara-gazette.com;newsandtribune.com;sharonherald.com;kokomotribune.com;ncnewsonline.com;goshennews.com;meadvilletribune.com;starbeacon.com;dailyindependent.com;muskogeephoenix.com;capenews.net;greensburgdailynews.com;lockportjournal.com;tahlequahdailypress.com;clintonherald.com;richmondregister.com;timeswv.com;itemonline.com;cleburnetimesreview.com;stwnewspress.com;ottumwacourier.com;somerset-kentucky.com;mcalesternews.com;commercial-news.com;effinghamdailynews.com;washtimesherald.com;dailycitizen.news;corsicanadailysun.com;thetimestribune.com;weatherforddemocrat.com;reporter.net;crossville-chronicle.com;palestineherald.com;heraldbanner.com;athensreview.com;pharostribune.com;www.wvnews.com;edmondsun.com;duncanbanner.com;jacksonvilleprogress.com;tribune-democrat.com;theadanews.com
5.10.247.124,442858,betamo.com
23.231.154.143,N/A,N/A
195.85.23.212,586277,camfuze.com
159.182.75.50,143524,peachpit.com
141.193.213.24,N/A,N/A
188.244.122.254,713710,pinup.casino
198.54.126.35,171890,sudancancer-clinic.com
203.29.54.117,445674;461601;461839;462163;485897;474618;483706;499469,imperator.link;imperatorkazino.company;cazino-pharaon.rocks;pharaonclub.site;casino-imperator.info;imperator-kazino.cam;imperator-online.biz;pharaon-777play.com
160.83.43.134,984816,dbeasy.it
188.244.122.239,329487,pin-up.casino
85.195.76.86,4253;37211,admixer.net;admixer.com
133.250.249.57,273537,nomura-am.co.jp
162.255.119.106,396882;629586,akartoto138.com;curry7.us
69.57.162.24,938231,pandoracharmss.org
162.0.215.160,985857,essaytypes23.com
203.34.28.121,475660,admiral.wtf
154.55.252.203,654919,0796ing.com
193.108.91.132,742060,ns1-132.akam.net
200.23.37.69,452390,toditocard.com
109.69.190.145,392015,rockenseine.com
45.9.111.104,599366,heshenghuajing.com
156.250.179.120,668643,azino777-vpa.top
198.54.117.170,38128,web-hosting.com
5.181.161.75,198092;853941,1blocker.com;electro.cars
91.211.165.100,79783;164620,materiel.net;www.materiel.net
31.222.70.41,284129;533117,am1.bumbcdn.com;am1.badoocdn.com
195.85.23.180,159834,bongamodels.com
154.209.99.164,921627,yushanwugufang.com
185.34.106.44,387713,prod.umbrella.demonware.net
154.213.46.68,560346,yeyajico.com
103.242.99.6,169660,ooredoo.com.mm
162.0.209.178,261120;560831,prednisolone.business;fanvuelive.com
198.54.114.197,500845,prodigygamers.com
192.115.83.155,818051,izrus.co.il
63.250.38.194,861589;881696,heinekennexpress.com;heineken-darknet.com
66.29.133.155,625632,trickyenough.com
203.25.173.225,255511,scimex.org
160.153.0.115,528993;667214,beauhorn.com;sexking.site
104.160.64.15,810122;965988,subscribemenow.com;getresponsepages.com
206.188.192.85,717930,gosscom.com
199.188.200.216,353738,techuy.com
156.242.191.204,715935,qiyechuangkou.com
45.80.110.67,728218,pinup.partners
199.169.210.10,810549,www.federalreserve.org
198.54.116.70,170513;583642,daviddarling.info;diseno-art.com
199.188.201.216,910885,monsterbola70.com
66.29.153.196,407465,sisudata.com
64.39.105.32,21997,qagpublic.qg3.apps.qualys.com
198.54.115.107,949439,cannado.id
198.54.126.85,921535,ogrish.tv
79.170.44.95,412638,complexconsulting.co.uk
188.42.89.100,722913,5000-games.net
136.223.136.107,741969,sunysccc.edu
132.174.0.148,769590,coverart.oclc.org
203.30.188.26,474580,gmslotss.one
203.34.80.166,955900,vulkancityclub.net
94.242.228.16,857288,cadoola.com
154.23.60.126,652911,jshengde.com
103.183.72.10,83358,indianbank.in
154.23.46.122,592749,jszmkmmall.com
158.224.70.11,481789,sso.ice.com
160.124.123.158,691716,tdc77777.com
154.55.232.26,691246,milanshengxian.com
160.153.0.76,428247,london-post.co.uk
68.178.154.92,244054,navabharat.news
198.73.97.92,712254,ankenyia.infinitecampus.org
160.153.0.248,734246,douchenbaggan.com
156.250.242.197,646720,shihuitaiqian.com
203.17.126.241,443882;473633;474308;462059;475379;480400;499630;655646;710291,eldorado-casino.company;eldorado-casino.money;eldoradocasino.world;eldorado-casino.report;eldorado-casino.pro;eldoradocasino.pro;eldorad0-play.com;eldorado-casino.shop;eldorado-casino.loan
154.220.37.70,872094,billionvouchers.com
171.24.254.126,226727,cosmosdirekt.de
162.209.240.246,658219,fzsslj.com
199.60.103.155,N/A,N/A
43.245.41.149,159413,kent.gov.uk
68.178.145.9,163849,nlrc.ph
108.165.216.44,N/A,N/A
186.202.161.44,808848,grupoacert.com.br
91.223.125.180,381578,gan.fr
154.213.102.54,793470,jy-1.com
45.80.111.3,N/A,N/A
203.32.121.145,447251;474474;489728;935350,joykasino-online.best;joykasino-online.bid;casino-joy.cam;casino-joy.xyz
45.142.78.190,842058,gangguanfu.com
154.216.34.5,958514,ctronicsspytech.com
192.81.242.63,254110,nba2k.com
162.93.233.31,N/A,N/A
199.60.103.73,N/A,N/A
203.28.9.249,454613;486181,vulcanpobeda.company;wulkanpobeda.rocks
154.220.50.212,799136,lesengroup.com
5.181.161.100,664806,antischool.online
212.48.98.38,851805;937382,de.forgeofempires.com;fr.forgeofempires.com
83.150.224.205,691917,dxshenghuo.com
199.60.103.88,353696;579218,mobivity.com;worktango.com
160.124.38.13,737586,yzrvl.com
212.119.92.15,38652,cyberia.net.sa
191.252.51.103,665778,geosiap.net.br
213.169.148.138,699750,buh.ht
162.255.119.178,547101;898815,phimsexdam.live;171gede.com
154.201.252.66,823708,dspiao.com
147.161.32.78,689359,gofuntech.com
160.124.93.138,632998,xueda1.com
209.15.37.21,320489,avalonadvancedmaterials.com
193.227.99.37,846768,aplaycasino.com
162.255.119.78,157866;519355;599762;664257;768059,lords.cam;darkwebsitesnet.com;1win-kazinoz.shop;24dppq1n8.com;bonuscasino.vip
206.188.193.226,588073,tradertools.com
198.54.125.239,178697;900022,menarabesar.com;menarakuat.com
191.252.77.13,812155,opticanet.com.br
45.156.217.212,802711,lidingtiandi.com
154.91.252.204,732034,live0452.com
192.64.119.211,356065,vizualize.me
135.84.64.154,478491;654352,e43.ultipro.com;e43c.ultipro.com
156.250.239.87,599945,niketnrequinfr.com
193.227.99.21,464247,mrbit.ro
192.64.117.200,194857,designlabthemes.com
203.23.103.149,461677;473365;488032,24wulkan.one;24vulkan.win;vulkan24casino.wtf
208.74.123.62,N/A,N/A
103.175.219.224,933171,kuningankab.go.id
209.17.116.6,203955,sigwebtablet.com
192.64.117.169,452062,teachbesttech.org
154.92.44.27,810657,sxgajr.com
171.24.254.50,238723,generali.de
162.0.229.139,470369,uktohabbarijamalta.com
109.234.161.20,718487,dangerousrays.com
162.0.235.150,325954;367035,drawingdatabase.com;zaramantap.com
188.164.158.49,489324,wulcan-vegas.com
109.234.160.82,844021,sosvirus.net
162.213.251.190,324258,sdspanama.com
186.202.137.132,873192,kbo.net.br
203.101.184.90,768504,pass.gov.pk
103.127.134.94,771519,nickelcitydelivery.com
43.245.41.9,3469,unimelb.edu.au
68.178.149.125,117575;139661,fastjobsearchers.com;www.fastjobsearchers.com
12.167.4.56,422732,skagitregionalhealth.org
179.188.23.25,841951;983142,larps.com.br;otace.com.br
147.237.72.201,824805,forms.gov.il
192.88.0.67,81716,emaplan.com
154.220.55.42,833785,qyzwa.com
162.255.119.144,183419,vespatogel604.com
66.29.157.11,971505,wellshop.pk
31.222.67.112,207777,eu1.badoo.com
63.250.38.205,803961,riocargoexpress.com
199.60.103.81,178999;562403,atlantech.net;d-tools.com
160.124.228.76,864636,pcm-house.com
89.250.34.1,981036,adviser.royallondon.com
147.63.166.103,N/A,N/A
66.29.131.198,300946,rumangalist.org
45.85.118.5,N/A,N/A
103.214.164.124,569022,shyyjtss.com
162.0.209.183,997245,officialwong.xyz
66.29.132.90,454271,techspurblog.com
193.108.88.129,635143,a1-129.akadns.net
216.226.197.89,990966,amphitheater.infinitecampus.org
162.93.232.17,N/A,N/A
162.0.215.223,338354,lemoncasino.org
179.188.47.12,667156,sapatellaoficial.com.br
156.250.161.25,634351,qdwwdz.com
178.249.96.10,149978,lo.idp.liveperson.net
198.54.116.131,987302,elyonedupreparation.com
203.29.52.112,490054,maxbet-slotscity.com
103.219.196.188,416965;990373,krungsribizonline.com;www.krungsribizonline.com
64.118.180.19,359721,member.wellcare.com
162.255.119.93,47834;943272,aj2307.online;useiconic.com
185.70.42.41,161362,mail-api.proton.me
167.127.134.36,N/A,N/A
158.228.135.73,532053,arvato.kronos.net
50.31.65.253,514987,costcoinsider.com
108.165.216.164,N/A,N/A
195.85.23.131,624498,bongacams23.com
193.108.88.65,367967,p4.akamaistream.net
154.220.58.166,987190,duwufashion.com
189.126.105.153,523643,lk6.com.br
156.242.153.45,646058,borgmatic.com
31.222.70.21,22762,am1.badoo.com
185.162.228.2,14443;26435;33455;41502;40528;10310;95092;96900;111263;125859;135435;136059;139886;135456;126866;131666;141978;158650;217796;218945;217529;208911;217761;259314;261964;261417;270370;258488;269806;290367;306622;306689;304620;306798;312331;313729;312332;307160;306843;306783;355436;396745;388687;443287;452283;472070;498695;528654;545766;559664;559884;563341;566565;580412;567702;565231;637523;658140;647557;667816;668694;661252;731487;827155;835681;844906;954028;958118;996937,m.vbet.am;vbet.ua;m.vbet.ua;m.bantubet.co.ao;bantubet.co.ao;vbet.am;segurobet.com;gbets.co.za;winzir.ph;icombet.com;m.golcashhaiti.com;msport.vbet.am;www.gbets.co.za;m.icombet.com;golcashhaiti.com;games.vbet.am;www.segurobet.com;betcoswarm.com;m.lynabet.com;www.sorti365.com;games.vbet.ua;sorti365.com;lynabet.com;cgebet3.com;lasvegas.ro;goldrush.co.za;vbet.com;oleybet.com;cgebet2.com;bet251.net;m.bet251.net;m.enebet.com;enebet.com;m.maxibet.bet;www.cgebet2.com;www.goldrush.co.za;www.cgebet3.com;maxibet.bet;m.oleybet.com;m.lasvegas.ro;vbet.lat;vbet10.com;betcostatic.com;bettogoal.com;solbet.pe;vbet.co.uk;joinus.bet;fasttv.am;betclub.live;vbet-tr.com;alizabet.com;crowncityplay.com.py;www.crowncityplay.com.py;fasttoken.com;www.solbet.pe;promo.vbet.am;nexbetsports.com;vbetua2.com;vbetua1.com;yas.bet;wionbet.com;betcris.pl;solbet.com.py;babylonbet.net;gbets.co.ls;time4bets.com;gbctlatina.com;betssen.com;betdaddys.com
199.242.6.67,854977;938013,blackrockfinancial.us;blackrock.net
216.10.252.35,453686,greensquares.in
154.201.171.166,767957,meigaoliang.com
198.187.31.70,236427,goldwave.com
64.78.49.129,N/A,N/A
199.60.103.138,N/A,N/A
160.153.0.62,627156;641410;963546,scantron.com;1000projects.org;dekaresearch.com
160.46.226.164,7874;131998;202211;256901;443832;482366;547753;661411;810610;954890;975871,mini.de;mini.jp;mini.com;mini.co.uk;mini.it;mini.fr;mini.es;mini.com.mx;mini.nl;mini.com.br;mini.co.kr
91.231.195.15,111163,hb2.bankleumi.co.il
195.85.59.162,N/A,N/A
5.226.179.24,366761,game-365.com
154.209.54.24,657429,bjjiayun.com
103.11.214.38,942125,688365365.com
91.209.131.125,931740,ipay.ge
192.155.100.183,336996;332170;788402,www.neaeagovet.com;neaeagovet.com;gotestprep.com
162.255.119.71,517974;739157;902108,indabamusic.com;sika.health;ticotaxiapp.com
110.50.230.206,270193,dafabet.net
154.209.114.7,447257,liangbingliang1.cn
203.30.191.34,462110,cazinojoy.rocks
69.58.187.75,N/A,N/A
199.60.103.58,49409,haendlerbund.de
160.124.116.71,752457,xymzxyy.com
156.250.152.168,967155,9577520.com
192.64.119.28,235471;490568;939772,prednisome.com;anime-tv.store;nvuti.fit
192.64.119.207,174368;574267;616477;723982;743832,liga2000hoki.com;topgolfusa.com;kingvulkan.rocks;samanaga.art;propiski.site
154.84.23.253,N/A,N/A
192.64.119.75,610737;895983,7wicket.com;1win-84.top
83.150.226.156,632962,iipq-ccpa.com
154.209.45.23,559527;695017,xibeitongcai.com;giltjob.com
162.213.153.94,868374,sclc004sbc08ag1.scl.five9.com
158.224.34.12,466010,iceim.ice.com
43.245.41.7,18124;7558;156714;301840,monash.edu.au;monash.edu;monashcollege.edu.au;monash.edu.my
172.83.72.6,813740,transunion.com.do
162.255.119.236,488177;761855;899363,silverpic.com;runpoint.pro;eurobisa.xyz
12.167.4.250,720002,matatransit.com
109.234.165.30,585380,sowell.fr
162.255.119.154,857451,drheinekenexpress.com
66.29.137.29,513897,passdock.com
160.124.116.92,621167,zg-dino.com
66.22.63.248,505515,te.gob.mx
156.225.72.3,595888,lokicasino.com
217.114.94.2,754;20346;23219;22821;22749;20730;28821;31118;27323;29488;31654;25781;36724;38524;38271;36966;39125;46766;47172;58188;52003;59699;53596;54806;54017;59008;41193;62612;65594;66498;54631;67741;68378;63980;66999;51960;66363;79524;68721;69270;75853;78208;80492;75005;84820;78190;77871;67995;81782;78087;82152;79024;90910;64727;92440;68642;89193;90311;78000;91407;89725;93654;88236;106493;105876;108232;103487;110480;99426;94128;105101;106849;118209;104926;103145;116234;118732;39897;130355;143797;147306;146953;145490;145383;144390;146166;145283;153778;145674;148633;151992;154800;155170;162582;150262;168372;166702;146197;173156;176589;176872;152378;179283;182525;173518;178823;178612;185412;185944;158431;166813;176178;185917;189366;190184;180665;193183;197555;188922;197139;175330;193126;191801;149358;184555;203836;180282;204951;212559;216096;208520;214876;194994;216984;221839;193187;211215;219486;226862;209314;222946;228875;214335;227680;222111;226543;230633;222554;229360;227697;242845;246355;235534;236628;242162;233114;233392;231442;247353;258775;249774;242516;253370;257939;260825;267140;268140;241986;270021;276133;278393;277212;265756;272989;280941;275015;246640;275016;278387;291818;289737;247034;293076;287492;289409;298578;260507;293882;269518;319463;321713;326055;330807;335067;326422;335545;329157;327585;332828;349846;344865;333800;350634;353609;349564;359272;335512;354990;347908;361325;361682;327167;376609;369860;362822;378213;365029;380764;377568;382286;388007;389023;391089;389199;390319;390312;392595;398365;398764;391606;398763;393986;404818;405301;403408;396730;404573;410039;404020;409991;413045;400555;414548;402465;401655;429485;421576;432672;436672;437775;426773;420538;433707;423381;429095;441152;422139;432245;432647;446764;442351;448583;448760;444372;453464;450295;446529;444059;454566;448559;455091;458474;453470;448891;449221;461644;463444;463536;470768;467694;467933;469113;468572;473731;464401;467431;479696;483415;486903;486566;489718;492846;487848;490748;499677;494807;498211;485310;502959;507642;515153;516396;512940;520504;519075;494363;511632;511807;520350;519163;519556;531549;531717;528246;518467;518365;532404;541492;524603;538946;542938;546405;553988;543429;552489;538480;560988;558728;561893;561315;530498;562057;561989;570438;578606;577389;573448;587044;575675;586371;592459;594011;604405;600420;584912;605604;610590;607929;610121;615194;605520;599925;602476;606991;619045;616296;619797;618450;624630;631359;621643;644937;641620;636310;624196;636798;651806;653160;640303;650522;639550;649885;657626;660406;667697;664442;667945;671673;671876;681999;685926;687949;684872;688933;685449;690007;693379;685865;689775;693350;707594;705832;708193;701558;712063;715279;724354;716916;722064;728190;707687;728182;744763;755652;742488;714229;747634;742858;751310;743165;769968;774077;770828;773078;784545;780145;780088;762521;786013;780499;795881;796305;795533;799552;796742;806388;819765;809978;809959;822822;819874;817499;834096;834662;828561;841829;846750;841534;861957;851224;862844;871331;872703;880716;880927;873578;893853;827032;902252;894249;908355;905930;903115;912166;911469;911289;926994;935180;953983;935368;961183;963236;967451;967107;969051;960886;973256;957520;978814;976143;988608;989061;992576;963081;989227;978955;995734;998715,optimizely.com;connectwise.com;ofcom.org.uk;sennheiser.com;regjeringen.no;perchsecurity.com;sandvik.com;suunto.com;pgcps.org;rusta.com;ageuk.org.uk;delaval.com;brownells.com;dnv.com;commscope.com;montereybayaquarium.org;intertek.com;apta.org;cipd.co.uk;na-kd.com;siteimprove.com;swedenabroad.se;manh.com;wef.org;gardeners.com;cipd.org;infosecinstitute.com;iiss.org;dometic.com;cheapcaribbean.com;lta.org.uk;schoolsfirstfcu.org;kensington.com;idsociety.org;adairs.com.au;tevapharm.com;invitedclubs.com;acep.org;jensonusa.com;novanthealth.org;moffitt.org;outrigger.com;soa.org;sintef.no;redcross.org.au;briscoes.co.nz;kenya-airways.com;alamo.edu;childrenscolorado.org;ryder.com;acgme.org;emply.com;itboost.com;hydro.com;thejockeyclub.co.uk;fhi.no;oldnational.com;homeinstead.com;kappahl.com;bausch.com;valvoline.com;hyattinclusivecollection.com;kongsberg.com;globalcu.org;kbhome.com;optos.com;usi.com;mondigroup.com;applevacations.com;newbelgium.com;nrc.no;naturvardsverket.se;svenskfotboll.se;luriechildrens.org;mottmac.com;alfalaval.com;fsmb.org;ezlynx.com;valmet.com;corinthia.com;omnicell.com;seafoodwatch.org;asrm.org;redlands.edu;aboutkidshealth.ca;dssmith.com;nsca.com;southwestvacations.com;logistics.com;securitasinc.com;riverty.com;riogrande.com;masonite.com;funjet.com;murdochs.com;childrensmercy.org;sca.com;yara.com;andrew.com;sykehuspartner.no;centralbank.net;rwbaird.com;forskningsradet.no;civica.com;desertfinancial.com;roxtec.com;eidsiva.net;dnv.no;lowrance.com;swedenabroad.com;unfcu.org;norges-bank.no;trygghansa.se;atwoods.com;tecoenergy.com;ismworld.org;astho.org;payex.com;upm.com;cancer.dk;securitas.com;home.sandvik;nbim.no;securitas.se;ohlq.com;worldanimalprotection.org;metsagroup.com;candriam.com;valvolineglobal.com;munters.com;wwf.nl;mla.com.au;paychex.eu;convatec.com;hsb.se;tcenergy.com;polynesia.com;wilhelmsen.com;warnerleisurehotels.co.uk;riksbyggen.se;discovertasmania.com.au;lakemedelsverket.se;sfopera.com;ralawise.com;icertis.com;nibco.com;proshares.com;useindio.com;megaflis.no;chefswarehouse.com;anicura.es;hoyavision.com;mechanicsbank.com;almbrand.dk;materion.com;profoto.com;granngarden.se;evry.com;calcoastcu.org;centurycommunities.com;vecozo.nl;mazda.ca;broadviewfcu.com;gatecity.bank;naiop.org;carestreamdental.com;crisisprevention.com;obsbygg.no;arvo.org;valleymed.org;powera.com;matchfashion.no;reproductivefacts.org;ruckusnetworks.com;skk.se;orangecountyscu.org;nowresorts.com;wilsonparking.com.au;elite.se;beachbound.com;upsales.com;sunscaperesorts.com;lutontown.co.uk;grantthornton.co.uk;legemiddelverket.no;gamecigars.com;bauschhealth.com;copeland.com;doc.govt.nz;arbeidstilsynet.no;mutualofamerica.com;westernpower.com.au;nfumutual.co.uk;crugroup.com;pgs.com;skeidar.no;alliedsolutions.net;huhtamaki.com;aarcorp.com;exfo.com;calranch.com;hvl.no;firstpremier.com;moneycorp.com;regionstockholm.se;apohem.se;obs.no;accobrands.com;anicura.de;nikon.co.uk;icasework.com;kirken.no;soderbergpartners.se;beazley.com;nacdonline.org;av-cables.dk;skyss.no;folkuniversitetet.se;helseplattformen.no;vhb.com;rodakorset.se;azets.com;childfund.org;r1soft.com;todayintheword.org;sodertalje.se;swapa.org;danskerhverv.dk;valeant.com;analysisgroup.com;nikon.de;tappi.org;karolinska.se;crump.com;ks.no;1edisource.com;beyondbank.com.au;monter.no;mbayaq.org;taby.se;nho.no;perpetual.com.au;onvz.nl;ptj.se;saco.se;grantthornton.global;ramsayhealth.co.uk;swegon.com;getinspired.no;promat.com;nacka.se;raddabarnen.se;securitas.es;southwestwater.co.uk;cmco.com;napa-net.org;statsforvalteren.no;statkraft.com;oslo-universitetssykehus.no;slachtofferhulp.nl;rushtruckcenters.com;nwl.co.uk;sunlife.co.uk;lews.com;pacificsurfliner.com;ataglance.com;molnlycke.com;securitas.de;daytimer.com;toyota.co.nz;loftware.com;jdirving.com;ucl.dk;opbank.ee;global.weir;billerud.com;hyster.com;medivetgroup.com;nba.nl;hollows.org;housing.org.uk;simrad-yachting.com;cpg.org;sigvaris.com;haldex.com;grantthornton.co.nz;unlimitedvacationclub.com;helse-bergen.no;wnf.nl;thedoctors.com;helse-midt.no;capcomfcu.org;northshorecare.com;bjurfors.se;lindab.com;planmeca.com;travsport.se;huseierne.no;sdir.no;friluftsframjandet.se;lowesprosupply.com;sart.org;ssen.co.uk;leitz.com;fagforbundet.no;medivet.co.uk;cfindustries.com;skandiamaklarna.se;barncancerfonden.se;emra.org;rfsu.se;yale.com;sosalarm.se;lumifyeyes.com;cbh.com;jaxtyres.com.au;sfadm.se;surfboard.com;nikon.fr;christchurchairport.co.nz;ifmetall.se;finanstilsynet.no;besafe.com;bama.no;creativecoop.com;yuverta.nl;dorothee-schumacher.com;aidacare.com.au;aka.dk;curreyandcompany.com;stenarecycling.com;kystverket.no;etac.com;ensto.com;anicura.se;carlislehomes.com.au;statkraft.no;parliament.vic.gov.au;konserthuset.se;oaj.fi;amstardmc.com;moodybible.org;pma.com;rushenterprises.com;thesilverline.org.uk;cedral.world;worldanimalprotection.us;anicura.nl;swedishmatch.com;worldanimalprotection.org.uk;ara.ac.nz;sandc.com;kondomeriet.no;accountant.nl;spfseniorerna.se;queenslandcountry.bank;enwl.co.uk;ahlstrom.com;yarabrasil.com.br;business-sweden.com;henry.com;whiteowlcigar.com;blueskytours.com;vilarare.se;devold.com;statefundca.com;defencebank.com.au;bcu.com.au;oma.org;vaderstad.com;xifaxan.com;archtoronto.org;ewii.dk;fareast.com.sg;vuxen.se;ledarna.se;grantthornton.ca;indigohealth.com;duraline.com;ava.com.au;sipmarket.com;supermodular.com;autopass.no;securitas.nl;incitecpivot.com.au;neles.com;daleofnorway.com;de.nl;aspia.se;sverigeslarare.se;rocktechnology.sandvik;vic.no;xn--ob-eka.se;landkredittbank.no;scan.se;aigroup.com.au;tevausa.com;aak.com;hyva.com;emergencyphysicians.org;echn.org;sbu.se;freshproduce.com;morrisons-corporate.com;wmfts.com;vastervik.se;nasjonaleturistveger.no;aimopark.se;hiloenergie.com;landgate.wa.gov.au;unfcu.com;hyattic.com;idrefjall.se;colorama.se;fargerike.no;sefcu.com;compass-group.fi;tevaitalia.it;pregis.com;hartwall.fi;infrastructureontario.ca;bairdwealth.com;boysofeurope.no;franklin-electric.com;sanomautbildning.se;worldemblem.com;e-wheels.no;godfisk.no;nic.sandvik;rsgbg.se;nykoping.se;imdi.no;mandatum.fi;anicura.fr;atria.fi;anicura.it;grantthornton.in;worldanimalprotection.org.br;jacobsdouweegberts.com;medicinesinpregnancy.org;svanen.se;employbridge.com;rams.com.au;ewheels.se;niqo.com;jm.se;securitas.fr;travsport.no;upmraflatac.com;equitone.com;virke.no;handels.se;grantthornton.com.ph;awards-experience.com;optimera.no;erab.com;raysearchlabs.com;aluahotels.com;dovetailhome.com;securitas.com.tr;weftec.org;jemena.com.au;esselte.com;valg.no;worldanimalprotection.org.au;charlesrussellspeechlys.com;kitchentuneup.com;cmh.edu;rapid.com;lo.no;adairs.co.nz;envirotainer.com;ksat.no;calamos.com;grantthornton.com.au;bidwells.co.uk;castellum.se;flisekompaniet.no
192.64.119.114,252777;334863;527944,imocarbam.shop;host-dns.eu;casinospincity-777.com
154.55.232.15,551989,gyxxzs.com
12.153.224.28,204272,etradefinancial.com
186.202.161.146,653870,orthopride.com.br
160.124.1.26,748575;853211,jxchuanshu.com;bflylm.com
66.29.132.85,81104;81021,propecia.monster;amoxicillin.monster
69.174.110.206,N/A,N/A
160.124.155.35,678811,gdtzba.com
198.105.200.32,65911,app.five9.com
186.202.119.48,659911,flashwear.com.br
160.153.0.43,163571;385280,prodbx.com;wekicash.com
68.65.122.160,696334,jetxcasinos.com
162.255.119.242,226717,hbrcdn.com
83.150.224.217,652112,zgwlha.com
154.220.37.78,581796,cyzycs.com
89.47.57.4,N/A,N/A
5.10.246.47,729170,joocasino24.com
199.181.197.11,N/A,N/A
208.83.240.61,359752;366566;417484;445480;460487;482246;514469;507280;533059;569697;702444;776724;916718,interracialpeoplemeet.com;chemistry.com;jpeoplemeet.com;loveandseek.com;seniorblackpeoplemeet.com;ldsplanet.com;marriagemindedpeoplemeet.com;singleparentmeet.com;blackchristianpeoplemeet.com;catholicpeoplemeet.com;democraticpeoplemeet.com;latinopeoplemeet.com;divorcedpeoplemeet.com
64.78.33.225,N/A,N/A
79.110.82.44,137057;565419,s42-ro.gladiatus.gameforge.com;s24-pt.gladiatus.gameforge.com
162.218.212.233,186659,everbank.com
192.64.117.46,762344,superflixhd.org
109.234.166.89,478467,henri-ruch.ch
193.193.181.167,N/A,N/A
160.153.0.130,436505,cotswoldmushrooms.com
93.191.174.46,206002,optimalpayments.com
109.234.160.80,761651,py-rates.fr
203.13.32.4,842707,admiral777.com
45.142.78.189,778591,yitent.com
216.69.100.201,55580,secure.nelnet.com
154.220.37.75,696472,868261.com
66.29.132.46,266483;319488,sciencelytech.com;hitsquad.com
199.60.103.45,364560;589423;945597,reevo.it;247software.com;yolo.co.za
154.216.86.69,629163,aladingplus.com
171.161.126.103,N/A,N/A
213.209.30.254,41619,iol.it
195.85.23.92,42033;121597;560865,ros.bongacams.com;ar.bongacams.com;gr.bongacams.com
192.64.119.16,366599;899688,delmovip.com;kamartoto.org
80.248.29.166,235102,nyherji.is
154.209.99.170,646785;779723,aiheihuazhaung.com;shouxuan18.com
160.124.166.91,858495,teeintact.com
185.176.24.2,894378;908211;921987;946109;936878;943637;956122;957260;961883;960972;952425;963173;962374;992737,letsgotoprofit.com;77redirect.com;usegserwfwerg.pro;opengserwfwerg.pro;dfxhtyhfgdrd.pro;meetgserwfwerg.pro;redigames.info;trygserwfwerg.pro;mywantwin.com;usedfxhtyhfgdrd.pro;redirect2slots.info;getgserwfwerg.pro;thegserwfwerg.pro;redirectgames.info
156.242.158.90,858903,shengshifanghua.com
145.221.181.243,N/A,N/A
216.119.218.99,3390,mastercard.com
12.167.4.67,696014,sammonsfinancialgroup.com
109.234.165.221,483474,iotbusinessnews.com
147.185.161.78,N/A,N/A
135.84.75.173,144912,cstsn02.ultipro.com
185.162.231.254,N/A,N/A
162.255.36.11,287379,zoomcrc.com
79.170.44.133,361719,misakieducation.com.np
203.28.9.240,463697;460003;489577,king-vulkan-offical.xyz;vulkancasino.racing;king-vulkan-offical.com
162.255.119.50,13401;381274;606350,olympusv2.gg;lordserials.cfd;viagra739.us
109.234.164.208,122925,esprit-turf.fr
209.177.169.69,157862,studio.myworkdaygadgets.com
160.124.97.68,972986,hyhthk.com
5.226.179.23,91730;138732,bet-mart.com;www.bet-mart.com
